人工标注,机器识别,score,0
bus,bus,no,78
bus,bus,yes,1581
bus,car,no,5
bus,car,yes,2
bus,heavy-truck,no,5
bus,light-bus,no,11
bus,light-bus,yes,3
bus,van-truck,no,1
car,car,no,57
car,car,yes,2790
car,heavy-truck,yes,1
car,light-bus,no,13
car,light-bus,yes,7
car,pick-up,no,4
car,pick-up,yes,4
heavy-truck,car,no,5
heavy-truck,heavy-truck,no,922
heavy-truck,heavy-truck,yes,4465
heavy-truck,mid-truck,no,34
heavy-truck,mid-truck,yes,1
heavy-truck,van-truck,no,62
heavy-truck,van-truck,yes,19
light-bus,car,no,49
light-bus,car,yes,67
light-bus,light-bus,no,216
light-bus,light-bus,yes,1396
light-bus,pick-up,no,1
light-truck,light-truck,no,7
light-truck,light-truck,yes,1102
light-truck,mid-truck,no,2
light-truck,pick-up,no,1
light-truck,pick-up,yes,6
mid-truck,bus,no,21
mid-truck,bus,yes,3
mid-truck,car,no,22
mid-truck,car,yes,1
mid-truck,heavy-truck,no,307
mid-truck,heavy-truck,yes,71
mid-truck,light-bus,no,1
mid-truck,light-truck,no,45
mid-truck,light-truck,yes,41
mid-truck,mid-truck,no,536
mid-truck,mid-truck,yes,727
mid-truck,pick-up,no,9
mid-truck,pick-up,yes,2
mid-truck,van-truck,no,20
mid-truck,van-truck,yes,2
pick-up,car,no,20
pick-up,car,yes,4
pick-up,light-bus,no,1
pick-up,light-bus,yes,2
pick-up,light-truck,yes,1
pick-up,mid-truck,no,2
pick-up,pick-up,no,59
pick-up,pick-up,yes,1618
van-truck,car,no,2
van-truck,heavy-truck,no,198
van-truck,heavy-truck,yes,141
van-truck,light-bus,no,5
van-truck,light-truck,no,8
van-truck,light-truck,yes,9
van-truck,mid-truck,no,20
van-truck,mid-truck,yes,1
van-truck,van-truck,no,473
van-truck,van-truck,yes,1129
