人工标注,机器识别,score,0
bus,bus,no,47
bus,bus,yes,1619
bus,car,no,2
bus,car,yes,1
bus,heavy-truck,yes,1
bus,light-bus,no,10
bus,light-bus,yes,6
car,bus,no,2
car,car,no,58
car,car,yes,2784
car,heavy-truck,yes,1
car,light-bus,no,13
car,light-bus,yes,13
car,pick-up,no,1
car,pick-up,yes,4
heavy-truck,bus,no,15
heavy-truck,bus,yes,6
heavy-truck,car,no,2
heavy-truck,heavy-truck,no,584
heavy-truck,heavy-truck,yes,4676
heavy-truck,light-bus,no,1
heavy-truck,mid-truck,no,47
heavy-truck,mid-truck,yes,4
heavy-truck,van-truck,no,114
heavy-truck,van-truck,yes,59
light-bus,bus,no,2
light-bus,car,no,38
light-bus,car,yes,53
light-bus,light-bus,no,54
light-bus,light-bus,yes,1581
light-bus,pick-up,yes,1
light-truck,light-truck,no,4
light-truck,light-truck,yes,1106
light-truck,mid-truck,no,1
light-truck,pick-up,no,1
light-truck,pick-up,yes,6
mid-truck,bus,no,21
mid-truck,bus,yes,2
mid-truck,car,no,18
mid-truck,heavy-truck,no,235
mid-truck,heavy-truck,yes,72
mid-truck,light-bus,no,2
mid-truck,light-truck,no,48
mid-truck,light-truck,yes,53
mid-truck,mid-truck,no,453
mid-truck,mid-truck,yes,850
mid-truck,pick-up,no,13
mid-truck,pick-up,yes,1
mid-truck,van-truck,no,36
mid-truck,van-truck,yes,4
pick-up,car,no,9
pick-up,car,yes,6
pick-up,light-bus,no,1
pick-up,light-bus,yes,2
pick-up,light-truck,no,1
pick-up,light-truck,yes,1
pick-up,mid-truck,no,2
pick-up,pick-up,no,45
pick-up,pick-up,yes,1640
van-truck,bus,no,3
van-truck,heavy-truck,no,145
van-truck,heavy-truck,yes,116
van-truck,light-bus,no,2
van-truck,light-bus,yes,1
van-truck,light-truck,no,5
van-truck,light-truck,yes,12
van-truck,mid-truck,no,17
van-truck,mid-truck,yes,3
van-truck,van-truck,no,277
van-truck,van-truck,yes,1405
