人工标注,机器识别,score,0
bus,bus,no,170
bus,bus,yes,1496
bus,car,no,4
bus,car,yes,2
bus,heavy-truck,no,1
bus,light-bus,no,11
bus,light-bus,yes,1
bus,van-truck,no,1
car,bus,no,2
car,car,no,151
car,car,yes,2694
car,heavy-truck,no,1
car,heavy-truck,yes,1
car,light-bus,no,18
car,light-bus,yes,3
car,pick-up,no,2
car,pick-up,yes,4
heavy-truck,bus,no,6
heavy-truck,car,no,18
heavy-truck,heavy-truck,no,1577
heavy-truck,heavy-truck,yes,4808
heavy-truck,light-bus,no,2
heavy-truck,light-truck,no,2
heavy-truck,mid-truck,no,43
heavy-truck,mid-truck,yes,1
heavy-truck,pick-up,no,1
heavy-truck,van-truck,no,136
heavy-truck,van-truck,yes,12
light-bus,car,no,48
light-bus,car,yes,58
light-bus,light-bus,no,246
light-bus,light-bus,yes,1375
light-bus,light-truck,no,1
light-bus,pick-up,no,1
light-truck,light-truck,no,50
light-truck,light-truck,yes,1059
light-truck,mid-truck,no,2
light-truck,pick-up,no,2
light-truck,pick-up,yes,5
mid-truck,bus,no,25
mid-truck,car,no,11
mid-truck,heavy-truck,no,403
mid-truck,heavy-truck,yes,61
mid-truck,light-truck,no,77
mid-truck,light-truck,yes,11
mid-truck,mid-truck,no,808
mid-truck,mid-truck,yes,357
mid-truck,pick-up,no,12
mid-truck,pick-up,yes,1
mid-truck,van-truck,no,41
mid-truck,van-truck,yes,1
pick-up,car,no,10
pick-up,car,yes,1
pick-up,light-bus,no,1
pick-up,light-bus,yes,1
pick-up,light-truck,no,1
pick-up,light-truck,yes,1
pick-up,pick-up,no,142
pick-up,pick-up,yes,1550
van-truck,bus,no,1
van-truck,car,no,1
van-truck,heavy-truck,no,237
van-truck,heavy-truck,yes,164
van-truck,light-bus,no,5
van-truck,light-truck,no,12
van-truck,light-truck,yes,3
van-truck,mid-truck,no,9
van-truck,van-truck,no,602
van-truck,van-truck,yes,952
